"id_girone", "id_giornata", "voto_casa", "voto_ospite", "mv_casa", "mv_ospite","tot_casa","tot_ospite","gol_casa","gol_ospite","casa","ospite"
"1","17","65","72,5","-1","0","66","71,5","1","2","Ronie Merda","Prosut!"
"1","17","69","61","-2","0","70","59","2","0","AS Venere","I NANI"
"1","17","64,5","80","0","0","65,5","80","1","4","Atletico ero na volta","Organizzazione Zero"
"1","18","66,5","61,5","0","-1","66,5","61,5","1","0","Azienda Paam","Ronie Merda"
"1","18","61,5","57","0","0","62,5","57","0","0","Salsino Forever","AS Valle SantAndrea"
"1","18","63,5","72","0","4","68,5","72","1","2","Eni Cafè di B.A.","Vota Micheli"
"1","18","70","71","4","-1","70","75","2","3","Prosut!","AS Venere"
"1","18","91","73","-1","3","95","72","7","2","I NANI","Atletico ero na volta"
"1","18","85,5","69","1","-1","85,5","70","5","2","Organizzazione Zero","Nuova Romanina"
"1","19","79,5","62,5","-3","-1","79,5","59,5","3","0","Salsino Forever","Azienda Paam"
"1","19","62,5","71","3","0","63,5","74","0","2","AS Valle SantAndrea","Eni Cafè di B.A."
"1","19","72","66,5","0","0","73","66,5","2","1","AS Venere","Ronie Merda"
"1","19","68","65","2","4","73","67","2","1","Atletico ero na volta","Prosut!"
"1","19","63,5","79","-2","0","64,5","77","0","3","Nuova Romanina","I NANI"
"1","19","65","62,5","2","3","69","64,5","1","0","Vota Micheli","Organizzazione Zero"
"1","20","62,5","61","2","0","63,5","63","0","0","Azienda Paam","AS Venere"
"1","20","63","79","-1","-2","62","78","0","3","Eni Cafè di B.A.","Salsino Forever"
"1","20","65","67,5","-1","-1","65","66,5","1","1","Ronie Merda","Atletico ero na volta"
"1","20","71,5","65","0","1","73,5","65","2","1","Prosut!","Nuova Romanina"
"1","20","61,5","69","0","4","66,5","69","1","1","I NANI","Vota Micheli"
"1","20","69,5","66","1","-1","69,5","67","1","1","Organizzazione Zero","AS Valle SantAndrea"
"1","21","69","70,5","0","0","70","70,5","2","2","Eni Cafè di B.A.","Azienda Paam"
"1","21","67","65,5","0","-1","67","65,5","1","1","Atletico ero na volta","AS Venere"
"1","21","65","66,5","1","-1","65","67,5","1","1","Nuova Romanina","Ronie Merda"
"1","21","67,5","60,5","0","1","69,5","60,5","1","0","Vota Micheli","Prosut!"
"1","21","70","66","2","-2","69","68","1","1","AS Valle SantAndrea","I NANI"
"1","21","70,5","74","-1","1","72,5","73","2","2","Salsino Forever","Organizzazione Zero"
"1","22","65,5","69","-1","3","69,5","68","1","1","Azienda Paam","Atletico ero na volta"
"1","22","68,5","85","-1","0","69,5","84","1","4","AS Venere","Nuova Romanina"
"1","22","71","64","0","-1","71","64","2","0","Ronie Merda","Vota Micheli"
"1","22","71","72","0","1","73","72","2","2","Prosut!","AS Valle SantAndrea"
"1","22","71","65","-2","-2","70","63","2","0","I NANI","Salsino Forever"
"1","22","65","71","1","-1","65","72","1","2","Organizzazione Zero","Eni Cafè di B.A."
"2","23","63","79","1","1","64","80","0","4","Vota Micheli","Organizzazione Zero"
"2","23","67,5","73,5","-3","-1","66,5","70,5","1","2","Salsino Forever","Azienda Paam"
"2","23","74,5","69,5","0","0","74,5","69,5","2","1","AS Valle SantAndrea","Atletico ero na volta"
"2","23","66","73","0","-1","65","73","1","2","AS Venere","Eni Cafè di B.A."
"2","23","65,5","63,5","0","-1","64,5","63,5","0","0","Nuova Romanina","Prosut!"
"2","23","73","74,5","-3","0","73","71,5","2","2","I NANI","Ronie Merda"
"2","24","67,5","66","-1","1","68,5","65","1","1","Organizzazione Zero","Azienda Paam"
"2","24","64,5","68,5","0","-2","62,5","68,5","0","1","Atletico ero na volta","Salsino Forever"
"2","24","66","71,5","-1","1","67","70,5","1","2","Eni Cafè di B.A.","AS Valle SantAndrea"
"2","24","69,5","64","-1","1","70,5","63","2","0","Prosut!","AS Venere"
"2","24","52,5","63,5","3","2","54,5","66,5","0","1","Ronie Merda","Nuova Romanina"
"2","24","77,5","70","0","1","78,5","70","3","2","Vota Micheli","I NANI"
"2","25","68,5","68","-1","-1","67,5","67","1","1","I NANI","Organizzazione Zero"
"2","25","75","61","2","-1","74","63","2","0","Azienda Paam","Atletico ero na volta"
"2","25","72","56,5","0","0","72","56,5","2","0","Salsino Forever","Eni Cafè di B.A."
"2","25","82","70","0","0","82","70","4","2","AS Valle SantAndrea","Prosut!"
"2","25","66,5","60","0","0","66,5","60","1","0","AS Venere","Ronie Merda"
"2","25","79","62,5","-1","-2","77","61,5","3","0","Nuova Romanina","Vota Micheli"
