"id_girone", "id_giornata", "voto_casa", "voto_ospite", "mv_casa", "mv_ospite","tot_casa","tot_ospite","gol_casa","gol_ospite","casa","ospite"
"1","1","78","69,5","-4","-4","75","65,5","3","1","I NANI","AS Valle SantAndrea"
"1","1","81","59","1","-1","81","60","4","0","Prosut!","Azienda Paam"
"1","1","78,5","61","-1","1","80,5","60","4","0","Peppe non me la da","SS Scrotone"
"1","1","72","83,5","2","0","73","85,5","2","5","Jimmy Grimble","Nuova Romanina"
"1","1","67,5","71","0","0","68,5","71","1","2","Atletico ero na volta","Ronie Merda"
"1","1","81","71","2","0","82","73","4","2","AS Fidanken","Bar Limpido"
"1","2","77,5","64","-2","-2","76,5","62","3","0","AS Valle SantAndrea","Azienda Paam"
"1","2","68","75","-1","-3","66","74","1","2","SS Scrotone","Prosut!"
"1","2","89","63","0","-2","88","63","5","0","Nuova Romanina","Peppe non me la da"
"1","2","71,5","78","1","-2","70,5","79","2","3","Ronie Merda","Jimmy Grimble"
"1","2","70,5","73","-2","-1","70,5","71","2","2","Bar Limpido","Atletico ero na volta"
"1","2","69","68,5","-1","0","70","67,5","2","1","I NANI","AS Fidanken"
"1","3","75,5","69","0","-1","75,5","69","3","1","AS Fidanken","AS Valle SantAndrea"
"1","3","66","61,5","4","-1","66","65,5","1","1","Azienda Paam","SS Scrotone"
"1","3","69,5","68","4","4","74,5","72","2","2","Prosut!","Nuova Romanina"
"1","3","62,5","71,5","0","1","64,5","71,5","0","2","Peppe non me la da","Ronie Merda"
"1","3","67","64","-2","-1","67","62","1","0","Jimmy Grimble","Bar Limpido"
"1","3","61","71,5","4","0","62","75,5","0","3","Atletico ero na volta","I NANI"
"1","4","73,5","66,5","0","1","75,5","66,5","3","1","AS Valle SantAndrea","SS Scrotone"
"1","4","76,5","64,5","0","0","77,5","64,5","3","0","Nuova Romanina","Azienda Paam"
"1","4","62","64","1","0","63","65","0","1","Ronie Merda","Prosut!"
"1","4","78","86","0","0","79","86","3","5","Bar Limpido","Peppe non me la da"
"1","4","67","62","4","-1","67","66","1","1","AS Fidanken","Atletico ero na volta"
"1","4","70","59","-1","0","71","58","2","0","I NANI","Jimmy Grimble"
"1","5","69,5","73,5","0","0","70,5","73,5","2","2","Atletico ero na volta","AS Valle SantAndrea"
"1","5","64","75","-1","-3","62","74","0","2","SS Scrotone","Nuova Romanina"
"1","5","59,5","60,5","0","1","61,5","60,5","0","0","Azienda Paam","Ronie Merda"
"1","5","75,5","71","-1","-1","75,5","70","3","2","Prosut!","Bar Limpido"
"1","5","69,5","61","0","4","74,5","61","2","0","Jimmy Grimble","AS Fidanken"
"1","5","74","69,5","0","0","75","69,5","3","1","Peppe non me la da","I NANI"
"1","6","63,5","70,5","1","-3","61,5","71,5","0","2","AS Valle SantAndrea","Nuova Romanina"
"1","6","65,5","70,5","0","0","66,5","70,5","1","2","Ronie Merda","SS Scrotone"
"1","6","78","69,5","-1","-1","78","68,5","3","1","Bar Limpido","Azienda Paam"
"1","6","73","74,5","-1","-3","71","73,5","2","2","Atletico ero na volta","Jimmy Grimble"
"1","6","66,5","67","-2","-2","65,5","65","1","1","AS Fidanken","Peppe non me la da"
"1","6","74","81","-2","-2","73","79","2","3","I NANI","Prosut!"
"1","7","48","67,5","1","-1","48","68,5","0","1","Jimmy Grimble","AS Valle SantAndrea"
"1","7","69","69,5","2","-1","69","71,5","1","2","Nuova Romanina","Ronie Merda"
"1","7","79,5","70","-1","-1","79,5","69","3","1","SS Scrotone","Bar Limpido"
"1","7","75","73,5","0","0","76","73,5","3","2","Peppe non me la da","Atletico ero na volta"
"1","7","68,5","75","0","-2","67,5","75","1","3","Prosut!","AS Fidanken"
"1","7","71","61","0","-1","71","61","2","0","Azienda Paam","I NANI"
"1","8","71","70,5","-1","2","74","69,5","2","1","AS Valle SantAndrea","Ronie Merda"
"1","8","66,5","66,5","1","0","67,5","67,5","1","1","Bar Limpido","Nuova Romanina"
"1","8","62","72","1","-2","61","73","0","2","Jimmy Grimble","Peppe non me la da"
"1","8","67","75,5","0","0","68","75,5","1","3","Atletico ero na volta","Prosut!"
"1","8","75","69","0","0","76","69","3","1","AS Fidanken","Azienda Paam"
"1","8","67","77,5","-1","-1","67","76,5","1","3","I NANI","SS Scrotone"
"1","9","63","74,5","1","-1","63","75,5","0","3","Peppe non me la da","AS Valle SantAndrea"
"1","9","72","70,5","0","0","73","70,5","2","2","Ronie Merda","Bar Limpido"
"1","9","77,5","63,5","2","0","78,5","65,5","3","1","Prosut!","Jimmy Grimble"
"1","9","66,5","69,5","-2","1","68,5","67,5","1","1","Azienda Paam","Atletico ero na volta"
"1","9","72","67","0","1","74","67","2","1","SS Scrotone","AS Fidanken"
"1","9","71,5","64","0","-2","70,5","64","2","0","Nuova Romanina","I NANI"
"1","10","81","70","2","-1","81","72","4","2","AS Valle SantAndrea","Bar Limpido"
"1","10","59,5","78","2","2","62,5","80","0","4","Peppe non me la da","Prosut!"
"1","10","55","63,5","1","2","58","64,5","0","0","Jimmy Grimble","Azienda Paam"
"1","10","64,5","72","-1","-2","63,5","71","0","2","Atletico ero na volta","SS Scrotone"
"1","10","68","68,5","2","-2","67","70,5","1","2","AS Fidanken","Nuova Romanina"
"1","10","67,5","71","-2","-3","65,5","69","1","1","I NANI","Ronie Merda"
"1","11","68,5","80,5","-1","2","71,5","79,5","2","3","Prosut!","AS Valle SantAndrea"
"1","11","64","68,5","1","0","65","69,5","1","1","Azienda Paam","Peppe non me la da"
"1","11","63","65","-2","0","64","63","0","0","SS Scrotone","Jimmy Grimble"
"1","11","57,5","66","4","0","58,5","70","0","2","Nuova Romanina","Atletico ero na volta"
"1","11","62,5","68","1","1","64,5","69","0","1","Ronie Merda","AS Fidanken"
"1","11","61","72","-1","-2","60","71","0","2","Bar Limpido","I NANI"
"1","12","73,5","72,5","1","-2","72,5","73,5","2","2","AS Valle SantAndrea","I NANI"
"1","12","62","68,5","2","0","63","70,5","0","2","Azienda Paam","Prosut!"
"1","12","67","80","0","3","71","80","2","4","SS Scrotone","Peppe non me la da"
"1","12","87,5","64","0","1","89,5","64","5","0","Nuova Romanina","Jimmy Grimble"
"1","12","75,5","68","-1","2","78,5","67","3","1","Ronie Merda","Atletico ero na volta"
"1","12","81","65,5","-3","-2","80","62,5","4","0","Bar Limpido","AS Fidanken"
"1","13","70","63","0","3","74","63","2","0","Azienda Paam","AS Valle SantAndrea"
"1","13","73","64,5","0","-1","73","64,5","2","0","Prosut!","SS Scrotone"
"1","13","66","66,5","2","-1","66","68,5","1","1","Peppe non me la da","Nuova Romanina"
"1","13","64","66,5","-2","-1","64","64,5","0","0","Jimmy Grimble","Ronie Merda"
"1","13","75,5","67,5","-2","-3","73,5","65,5","2","1","Atletico ero na volta","Bar Limpido"
"1","13","62","76,5","2","-2","61","78,5","0","3","AS Fidanken","I NANI"
"1","14","63","67,5","1","-2","62","68,5","0","1","AS Valle SantAndrea","AS Fidanken"
"1","14","66,5","56","-2","-1","66,5","54","1","0","SS Scrotone","Azienda Paam"
"1","14","71,5","67","0","0","72,5","67","2","1","Nuova Romanina","Prosut!"
"1","14","74,5","70,5","1","4","79,5","71,5","3","2","Ronie Merda","Peppe non me la da"
"1","14","68","77","-3","-2","67","74","1","2","Bar Limpido","Jimmy Grimble"
"1","14","68,5","70,5","-1","-3","66,5","69,5","1","1","I NANI","Atletico ero na volta"
"1","15","69,5","60,5","-2","0","70,5","58,5","2","0","SS Scrotone","AS Valle SantAndrea"
"1","15","65,5","73","2","2","68,5","75","1","3","Azienda Paam","Nuova Romanina"
"1","15","61,5","65,5","6","1","63,5","71,5","0","2","Prosut!","Ronie Merda"
"1","15","65,5","68,5","0","2","68,5","68,5","1","1","Peppe non me la da","Bar Limpido"
"1","15","63,5","79,5","2","2","66,5","81,5","1","4","Atletico ero na volta","AS Fidanken"
"1","15","71,5","71","-1","-2","70,5","70","2","2","Jimmy Grimble","I NANI"
"1","16","63,5","66","1","1","65,5","67","1","1","AS Valle SantAndrea","Atletico ero na volta"
"1","16","74","74,5","-2","-2","73","72,5","2","2","Nuova Romanina","SS Scrotone"
"1","16","65,5","69","-1","0","66,5","68","1","1","Ronie Merda","Azienda Paam"
"1","16","71","75,5","-1","-1","71","74,5","2","2","Bar Limpido","Prosut!"
"1","16","65","58,5","-1","1","67","57,5","1","0","AS Fidanken","Jimmy Grimble"
"1","16","67,5","65","-2","1","69,5","63","1","0","I NANI","Peppe non me la da"
"1","17","79,5","74","-3","0","80,5","71","4","2","Nuova Romanina","AS Valle SantAndrea"
"1","17","70","69","-3","-1","70","66","2","1","SS Scrotone","Ronie Merda"
"1","17","65","67","0","1","67","67","1","1","Azienda Paam","Bar Limpido"
"1","17","61","70,5","0","-2","60","70,5","0","2","Jimmy Grimble","Atletico ero na volta"
"1","17","69,5","71","0","-2","68,5","71","1","2","Peppe non me la da","AS Fidanken"
"1","17","71,5","70","4","-2","70,5","74","2","2","Prosut!","I NANI"
"1","18","56,5","62","0","0","57,5","62","0","0","AS Valle SantAndrea","Jimmy Grimble"
"1","18","69,5","65,5","0","-1","69,5","65,5","1","1","Ronie Merda","Nuova Romanina"
"1","18","79,5","66","1","-2","78,5","67","3","1","Bar Limpido","SS Scrotone"
"1","18","61,5","71,5","2","2","64,5","73,5","0","2","Atletico ero na volta","Peppe non me la da"
"1","18","72","79","0","0","73","79","2","3","AS Fidanken","Prosut!"
"1","18","67,5","64","-1","2","70,5","63","2","0","I NANI","Azienda Paam"
"1","19","64","60,5","1","0","65","61,5","1","0","Ronie Merda","AS Valle SantAndrea"
"1","19","61","62","0","1","63","62","0","0","Nuova Romanina","Bar Limpido"
"1","19","57,5","69","4","0","58,5","73","0","2","Peppe non me la da","Jimmy Grimble"
"1","19","57","74","0","-3","55","74","0","2","Prosut!","Atletico ero na volta"
