Quotazioni Fantacalcio Stagione 2023 24;;;;;;;;;;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M;offerta massima;fascia;indice squadra;titolarita;rigori;punizioni;angoli;note;Check su altro file 
4867;P;Por;Turati;Frosinone;5;5;0;5;5;0;8;8;3;5;1;8;;;;;KO
513;D;Dc;Acerbi;Inter;10;11;-1;10;11;-1;32;32;13;4;5;8;;;;"+; risentimento muscolare (metà settembre)";KO
662;D;"Ds;Dc";Alex Sandro;Juventus;6;6;0;7;7;0;12;16;5;5;3;5;;;;;KO
5424;D;"Dd;Dc";Amey;Bologna;1;1;0;1;1;0;1;2;0;7;11;2;;;;;KO
5316;D;"Ds;Dc";Amione;Verona;2;3;-1;3;4;-1;5;6;2;6;6;5;;;;;KO
4421;D;"Ds;E";Augello;Cagliari;5;5;0;5;5;0;12;12;5;5;3;7;;;;;KO
6231;D;"Ds;E";Azzi;Cagliari;6;5;1;6;5;1;10;10;4;5;2;7;;;;;KO
5067;D;E;Bakker;Atalanta;11;12;-1;10;11;-1;23;20;9;5;2;6;;;;"esterno quasi titolare; occhio a ruggeri";KO
2285;D;Dc;Bani;Genoa;3;3;0;3;3;0;6;6;2;6;5;5;;;;;KO
5835;D;"Dd;Dc";Baschirotto;Lecce;11;10;1;12;11;1;36;40;14;4;1;9;;;;antisco;KO
2120;D;Dc;Bastoni;Inter;14;13;1;14;13;1;48;48;19;3;4;8;;;;;KO
5332;D;"Ds;E";Bastoni S.;Empoli;8;8;0;8;8;0;32;32;13;4;1;7;;;;;KO
4887;D;"Dd;E";Bellanova;Torino;7;8;-1;7;8;-1;25;26;10;4;2;8;;;;sco;KO
2104;D;"Dd;E";Bereszynski;Empoli;3;3;0;3;3;0;4;4;2;6;6;3;;;;;KO
2737;D;Dc;Bettella;Monza;1;1;0;1;1;0;1;1;0;7;11;3;;;;;KO
6202;D;Dc;Beukema;Bologna;6;6;0;6;6;0;22;22;9;5;4;8;;;;;KO
5847;D;Dc;Bijol;Udinese;9;9;0;9;9;0;21;21;8;5;1;8;;;;+;KO
252;D;"Ds;E";Biraghi;Fiorentina;11;10;1;11;10;1;24;24;10;4;1;7;3;1;1;con Parisi?;KO
2083;D;"Dd;Dc";Biraschi;Genoa;4;3;1;5;4;1;3;4;1;6;6;4;;;;;KO
5838;D;"Dd;Ds;E";Birindelli;Monza;6;5;1;7;6;1;5;6;2;6;6;4;;;;;KO
6217;D;Dc;Bisseck;Inter;3;4;-1;3;4;-1;6;6;2;6;10;4;;;;;KO
6444;D;Dc;Bonfanti;Atalanta;1;1;0;1;1;0;1;1;0;7;12;1;;;;;KO
2192;D;Dc;Bonifazi;Bologna;2;3;-1;2;3;-1;3;3;1;6;7;4;;;;;KO
