Voti Italia 2 giornata di campionato;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
252;D;BIRAGHI;6;0;0;0;0;0;0;0;0;0;0;0
2164;D;MILENKOVIC;6,5;0;0;0;0;0;0;1;0;0;0;0
5323;D;MARTINEZ QUARTA;6,5;0;0;0;0;0;0;0;0;0;0;0
5457;C;MALEH;6*;0;0;0;0;0;0;0;0;0;0;0
150;C;SAPONARA;6*;0;0;0;0;0;0;0;0;0;0;0
2839;C;SOTTIL;6;0;0;0;0;0;0;0;0;0;0;0
367;C;BONAVENTURA;6,5;0;0;0;0;0;0;1;0;1;0;0
406;C;CALLEJON;6;0;0;0;0;0;0;0;0;0;0;0
526;C;DUNCAN;6;0;0;0;0;0;0;0;0;0;0;0
4377;C;CASTROVILLI;6,5;0;0;0;0;0;0;1;0;1;0;0
644;C;PULGAR;6,5;0;0;0;0;0;0;0;0;0;0;0
2841;A;VLAHOVIC;7,5;1;0;0;0;0;0;1;0;0;1;0
4179;A;GONZALEZ N.;7;1;0;0;0;0;0;0;0;0;0;0
4993;ALL;ITALIANO;7;0;0;0;0;0;0;0;0;0;0;0
GENOA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
2179;P;SIRIGU;6,5;0;2;0;0;0;0;0;0;0;0;0
5520;D;CAMBIASO;7;1;0;0;0;0;0;0;0;0;0;0
2328;D;VANHEUSDEN;6;0;0;0;0;0;0;0;0;0;0;0
244;D;GHIGLIONE;6,5;0;0;0;0;0;0;0;0;1;0;0
2759;D;CRISCITO;5,5;0;0;0;0;0;0;1;0;0;0;0
15;D;MASIELLO;5;0;0;0;0;0;0;0;0;0;0;0
2083;D;BIRASCHI;6,5;0;0;0;0;0;0;0;0;0;0;0
2302;C;BEHRAMI;6*;0;0;0;0;0;0;0;0;0;0;0
170;C;BADELJ;6;0;0;0;0;0;0;0;0;0;0;0
4423;C;HERNANI;5,5;0;0;0;0;0;0;0;0;0;0;0
305;C;STURARO;5;0;0;0;0;0;0;0;0;0;0;0
4459;C;ROVELLA;6,5;0;0;0;0;0;0;0;0;0;0;0
245;A;PANDEV;6;0;0;0;0;0;0;0;0;0;0;0
5439;A;KALLON;5,5;0;0;0;0;0;0;0;0;0;0;0
5459;A;BUKSA;5;0;0;0;0;0;0;0;0;0;0;0
5506;A;EKUBAN;5;0;0;0;0;0;0;1;0;0;0;0
762;ALL;BALLARDINI;6;0;0;0;0;0;0;0;0;0;0;0
INTER;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
250;P;HANDANOVIC;5;0;1;0;0;0;0;0;0;0;0;0
2525;D;DARMIAN;7;0;0;0;0;0;0;0;0;1;0;0
798;D;SKRINIAR;6;0;0;0;0;0;0;0;0;0;0;0
254;D;DIMARCO;6;0;0;0;0;0;0;0;0;0;0;0
322;D;DE VRIJ;6,5;0;0;0;0;0;0;0;0;0;0;0
2120;D;BASTONI;6,5;0;0;0;0;0;0;0;0;0;0;0
2414;C;VIDAL;6,5;0;0;0;0;0;0;0;0;0;0;0
704;C;PERISIC;6;0;0;0;0;0;0;0;0;0;0;0
181;C;VECINO;6*;0;0;0;0;0;0;0;0;0;0;0
1870;C;BARELLA;6,5;0;0;0;0;0;0;0;0;1;0;0
265;C;BROZOVIC;5,5;0;0;0;0;0;0;1;0;0;0;0
1978;C;SENSI;6*;0;0;0;0;0;0;0;0;0;0;0
2194;C;CALHANOGLU;5,5;0;0;0;0;0;0;0;0;0;0;0
647;A;DZEKO;6;0;0;0;0;0;0;0;0;0;0;0
2764;A;MARTINEZ L.;7;1;0;0;0;0;0;1;0;0;0;0
495;A;CORREA;8;2;0;0;0;0;0;0;0;0;1;0
826;ALL;INZAGHI S.;7;0;0;0;0;0;0;0;0;0;0;0
JUVENTUS;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
453;P;SZCZESNY;6;0;1;0;0;0;0;0;0;0;0;0
358;D;DE SCIGLIO;6*;0;0;0;0;0;0;0;0;0;0;0
4237;D;DANILO;5,5;0;0;0;0;0;0;1;0;0;0;0
662;D;ALEX SANDRO;5,5;0;0;0;0;0;0;0;0;0;0;0
4428;D;DE LIGT;6;0;0;0;0;0;0;0;0;0;0;0
697;D;CUADRADO;6;0;0;0;0;0;0;0;0;0;0;0
286;D;BONUCCI;6;0;0;0;0;0;0;0;0;0;0;0
2166;C;BENTANCUR;5;0;0;0;0;0;0;0;0;0;0;0
2379;C;RABIOT;4,5;0;0;0;0;0;0;0;0;0;0;0
2833;C;KULUSEVSKI;5,5;0;0;0;0;0;0;0;0;0;0;0
