Statistiche Fantacalcio Stagione 2022 23  Italia;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
5704;P;Por;Russo;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
5707;P;Por;Piana;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
5822;P;Por;Bagnolini;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
5832;P;Por;Luis Maximiano;Lazio;1;4;3;0;0;0;0;0;0;0;0;1;0
5853;P;Por;Sorrentino A.;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
5887;P;Por;Ciezkowski;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
5889;P;Por;Micai;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
5890;P;Por;Chiesa M.;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
6029;P;Por;Saro;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
6125;P;Por;Vasquez D.;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
6184;P;Por;Martinelli T.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
5877;D;"Ds;E";Carlos Augusto;Monza;35;6,16;6,76;6;0;0;0;0;0;5;4;0;0
254;D;"Ds;Dc;E";Dimarco;Inter;33;6,23;6,71;4;0;0;0;0;0;4;0;0;0
6066;D;"Dd;Dc";Posch;Bologna;30;6,15;6,72;6;0;0;0;0;0;2;6;0;0
2816;D;"Dd;E";Di Lorenzo;Napoli;37;6,3;6,62;3;0;0;0;0;0;4;2;0;0
554;D;E;Zappacosta;Atalanta;21;6,14;6,67;4;0;0;0;0;0;1;4;0;0
4237;D;"Dd;Ds;E";Danilo;Juventus;37;6,19;6,45;3;0;0;0;0;0;3;5;0;0
4245;D;Dc;Smalling;Roma;32;6,38;6,58;3;0;0;0;0;0;1;7;0;0
4998;D;E;Molina N.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
5892;D;Dc;Kim;Napoli;35;6,29;6,44;2;0;0;0;0;0;2;5;0;0
460;D;Dc;Romagnoli;Lazio;34;6,16;6,25;2;0;0;0;0;0;0;6;0;0
4292;D;"Ds;E";Hernandez T.;Milan;32;6,11;6,41;4;0;0;1;1;0;3;7;0;1
5355;D;"Ds;E";Udogie;Udinese;32;6,08;6,41;3;0;0;0;0;0;4;5;0;0
5480;D;"Dd;E";Ebuehi;Empoli;25;6,1;6,5;2;0;0;0;0;0;4;0;0;0
5481;D;"Dd;E";Mazzocchi;Salernitana;27;6,15;6,44;2;0;0;0;0;0;3;2;0;0
5862;D;"Ds;E";Valeri;Cremonese;37;5,96;6,19;2;0;0;0;0;0;4;3;0;0
4409;D;Dc;Rrahmani;Napoli;28;6,14;6,36;2;0;0;0;0;0;1;2;0;0
5527;D;"Dd;E";Zanoli;Sampdoria;20;5,95;6,28;2;0;0;0;0;0;2;3;0;0
5851;D;"Ds;E";Doig;Verona;21;6;6,45;2;0;0;0;0;0;4;1;0;0
2160;D;E;Gosens;Inter;25;5,88;6,22;3;0;0;0;0;0;0;2;0;0
2724;D;"Ds;Dc";Buongiorno;Torino;34;6,18;6,21;1;0;0;0;0;0;2;8;0;0
2788;D;Dc;Bremer;Juventus;30;6,03;6,33;4;0;0;0;0;0;0;6;0;0
5835;D;"Dd;Ds;Dc";Baschirotto;Lecce;37;6,11;6,27;3;0;0;0;0;0;0;6;0;0
6041;D;Dc;Schuurs;Torino;29;6,21;6,19;0;0;0;0;0;0;2;5;0;0
1852;D;"Ds;E";Spinazzola;Roma;26;6;6,21;1;0;0;0;0;0;4;3;0;0
2296;D;Dc;Mancini;Roma;35;6,09;6,11;1;0;0;0;0;0;2;7;0;0
4751;D;Dc;Tomori;Milan;33;6,03;6,05;1;0;0;0;0;0;0;5;0;0
5449;D;"Ds;E";Parisi;Empoli;33;6,23;6,23;2;0;0;0;0;0;0;10;1;0
5840;D;"Ds;E";Olivera;Napoli;25;6,02;6,26;2;0;0;0;0;0;1;2;0;0
140;D;"Dd;Ds;E";Hysaj;Lazio;30;5,9;5,98;1;0;0;0;0;0;1;3;0;0
252;D;"Ds;E";Biraghi;Fiorentina;32;6,02;6,16;2;0;0;1;0;1;4;1;0;1
393;D;"Ds;Dc";Luperto;Empoli;36;5,94;6,03;2;0;0;0;0;0;0;2;2;0
695;D;Dc;Toloi;Atalanta;32;6,06;6,12;2;0;0;0;0;0;0;8;0;0
2120;D;Dc;Bastoni;Inter;29;6,02;6,03;0;0;0;0;0;0;2;3;0;0
2141;D;"Dd;E";Depaoli;Verona;33;5,83;5,92;2;0;0;0;0;0;1;8;0;0
2525;D;E;Darmian;Inter;27;6,04;6,17;1;0;0;0;0;0;2;3;0;0
4421;D;"Ds;E";Augello;Sampdoria;37;5,78;6,04;2;0;0;0;0;0;5;3;0;0
5332;D;"E;C";Bastoni S.;Spezia;18;6,06;6,42;2;0;0;0;0;0;4;7;0;0
5375;D;E;Maehle;Atalanta;30;5,87;6,12;3;0;0;0;0;0;2;5;1;0
5498;D;"Dd;Dc";Casale;Lazio;29;6,03;6,07;1;0;0;0;0;0;1;6;0;0
5513;D;E;Dumfries;Inter;34;5,9;5,99;1;0;0;0;0;0;4;4;0;1
5526;D;Dc;Scalvini;Atalanta;32;5,92;6;2;0;0;0;0;0;0;7;0;0
5675;D;Dc;Theate;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
5677;D;Dc;Perez N.;Udinese;33;5,92;5,91;2;0;0;0;0;0;0;7;1;1
5847;D;Dc;Bijol;Udinese;32;5,97;6,12;3;0;0;0;0;0;1;10;0;0
142;D;"Ds;E";Mario Rui;Napoli;22;6,2;6,34;0;0;0;0;0;0;5;2;1;0
