Voti Italia 1 giornata di campionato;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
2179;P;SIRIGU;6;0;4;0;0;0;0;0;0;0;0;0
5520;D;CAMBIASO;5,5;0;0;0;0;0;0;0;0;0;0;0
2083;D;BIRASCHI;5;0;0;0;0;0;0;0;0;0;0;0
5524;D;SERPE;5,5;0;0;0;0;0;0;0;0;0;0;0
2328;D;VANHEUSDEN;5;0;0;0;0;0;0;0;0;0;0;0
2759;D;CRISCITO;5;0;0;0;0;0;0;1;0;0;0;0
791;D;SABELLI;6;0;0;0;0;0;0;0;0;0;0;0
2121;C;MELEGONI;5,5;0;0;0;0;0;0;0;0;0;0;0
170;C;BADELJ;5,5;0;0;0;0;0;0;0;0;0;0;0
305;C;STURARO;5;0;0;0;0;0;0;1;0;0;0;0
4423;C;HERNANI;5,5;0;0;0;0;0;0;0;0;0;0;0
4459;C;ROVELLA;5,5;0;0;0;0;0;0;0;0;0;0;0
5439;A;KALLON;5,5;0;0;0;0;0;0;0;0;0;0;0
819;A;FAVILLI;5,5;0;0;0;0;0;0;0;0;0;0;0
5523;A;BIANCHI F.;5,5;0;0;0;0;0;0;0;0;0;0;0
245;A;PANDEV;5;0;0;0;0;0;0;0;0;0;0;0
762;ALL;BALLARDINI;5;0;0;0;0;0;0;0;0;0;0;0
INTER;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
250;P;HANDANOVIC;6;0;0;0;0;0;0;0;0;0;0;0
322;D;DE VRIJ;6,5;0;0;0;0;0;0;0;0;0;0;0
2525;D;DARMIAN;6;0;0;0;0;0;0;0;0;0;0;0
798;D;SKRINIAR;7,5;1;0;0;0;0;0;0;0;0;1;0
5513;D;DUMFRIES;6*;0;0;0;0;0;0;0;0;0;0;0
254;D;DIMARCO;6,5;0;0;0;0;0;0;0;0;0;0;0
2120;D;BASTONI;6,5;0;0;0;0;0;0;0;0;0;0;0
2194;C;CALHANOGLU;7,5;1;0;0;0;0;0;0;0;1;0;0
2414;C;VIDAL;7;1;0;0;0;0;0;0;0;1;0;0
704;C;PERISIC;6,5;0;0;0;0;0;0;0;0;0;0;0
181;C;VECINO;6;0;0;0;0;0;0;1;0;0;0;0
1870;C;BARELLA;7;0;0;0;0;0;0;0;0;1;0;0
1978;C;SENSI;6;0;0;0;0;0;0;0;0;0;0;0
265;C;BROZOVIC;6,5;0;0;0;0;0;0;0;0;0;0;0
647;A;DZEKO;7,5;1;0;0;0;0;0;0;0;1;0;0
5460;A;SATRIANO;6;0;0;0;0;0;0;0;0;0;0;0
826;ALL;INZAGHI S.;7;0;0;0;0;0;0;0;0;0;0;0
JUVENTUS;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
453;P;SZCZESNY;4;0;2;0;0;0;0;1;0;0;0;0
697;D;CUADRADO;7;1;0;0;0;0;0;0;0;0;0;0
4428;D;DE LIGT;6;0;0;0;0;0;0;0;0;0;0;0
286;D;BONUCCI;6;0;0;0;0;0;0;0;0;0;0;0
288;D;CHIELLINI;6;0;0;0;0;0;0;0;0;0;0;0
662;D;ALEX SANDRO;6;0;0;0;0;0;0;0;0;0;0;0
4237;D;DANILO;5,5;0;0;0;0;0;0;0;0;0;0;0
184;C;BERNARDESCHI;6;0;0;0;0;0;0;0;0;0;0;0
827;C;LOCATELLI;6*;0;0;0;0;0;0;0;0;0;0;0
2002;C;CHIESA;6;0;0;0;0;0;0;0;0;0;0;0
2166;C;BENTANCUR;6,5;0;0;0;0;0;0;0;0;1;0;0
2472;C;RAMSEY;5,5;0;0;0;0;0;0;0;0;0;0;0
2833;C;KULUSEVSKI;5,5;0;0;0;0;0;0;1;0;0;0;0
309;A;DYBALA;7,5;1;0;0;0;0;0;0;0;1;0;0
313;A;MORATA;5,5;0;0;0;0;0;0;0;0;0;0;0
2610;A;RONALDO;6;0;0;0;0;0;0;1;0;0;0;0
686;ALL;ALLEGRI;5,5;0;0;0;0;0;0;0;0;0;0;0
LAZIO;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
387;P;REINA;6;0;1;0;0;0;0;0;0;0;0;0
140;D;HYSAJ;6;0;0;0;0;0;0;0;0;0;0;0
2263;D;LAZZARI;6,5;1;0;0;0;0;0;0;0;0;1;0
2335;D;LUIZ FELIPE;6,5;0;0;0;0;0;0;0;0;0;0;0
513;D;ACERBI;6,5;0;0;0;0;0;0;0;0;0;0;0
2085;C;LUIS ALBERTO;5,5;0;0;0;0;0;0;0;0;0;0;0
2209;C;LUCAS LEIVA;6;0;0;0;0;0;0;1;0;0;0;0
5286;C;AKPA AKPRO;5,5;0;0;0;0;0;0;0;0;0;0;0
335;C;FELIPE ANDERSON;6,5;0;0;0;0;0;0;0;0;1;0;0
645;C;MILINKOVIC-SAVIC;7,5;1;0;0;0;0;0;0;0;1;0;0
4389;C;ANDERSON A.;6;0;0;0;0;0;0;0;0;0;0;0
4975;C;ESCALANTE;6*;0;0;0;0;0;0;0;0;0;0;0
5012;A;MURIQI;6*;0;0;0;0;0;0;0;0;0;0;0
2489;A;PEDRO;6;0;0;0;0;0;0;0;0;0;0;0
4938;A;MORO;6;0;0;0;0;0;0;0;0;0;0;0
785;A;IMMOBILE;7;0;0;0;0;1;0;0;0;0;0;0
688;ALL;SARRI;7;0;0;0;0;0;0;0;0;0;0;0
NAPOLI;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
572;P;MERET;6;0;0;0;0;0;0;0;0;0;0;0
142;D;MARIO RUI;6,5;0;0;0;0;0;0;0;0;0;0;0
2816;D;DI LORENZO;6,5;0;0;0;0;0;0;0;0;0;0;0
392;D;KOULIBALY;6,5;0;0;0;0;0;0;0;0;0;0;0
459;D;MANOLAS;6;0;0;0;0;0;0;0;0;0;0;0
