Id;R;RM;Nome;Squadra;Qt.A;FVM;Indice appetibilità;Titolarita;Rigori;Punizioni;angoli;Indice Squadra;Fascia;Offerta max;Note
2742;C;"M;C";Valzania;Cremonese;2;1;69;8;;;;;;0;
2746;D;"Ds;E";Dijks;Bologna;3;2;60;4;;;;;;1;
2758;D;Dc;Gunter;Verona;6;11;69;8;;;;;;4;
2762;A;A;Kouame';Fiorentina;10;18;69;5;;;;;;7;
2764;A;Pc;Martinez L.;Inter;34;307;89;8;2;;;;;123;
2766;C;"W;A";Zaniolo;Roma;19;70;80;6;;3;;;;28;
2769;D;Dc;Magnani;Verona;3;5;59;4;;;;;;2;
2775;C;"C;T";Ruiz;Napoli;19;19;79;8;;;;;;8;
2784;D;Dc;Colley;Sampdoria;9;17;70;9;;;;;;7;
2788;D;Dc;Bremer;Juventus;18;53;82;8;;;;;;21;
2792;P;Por;Musso;Atalanta;13;37;82;9;;;;;;15;
2804;C;"M;C";Scozzarella;Monza;1;2;40;2;;;;;;1;
2814;P;Por;Provedel;Lazio;7;6;10;2;;;;;;2;
2815;P;Por;Terracciano;Fiorentina;1;5;55;4;;;;;;2;
2816;D;"Dd;E";Di Lorenzo;Napoli;16;40;87;9;;;;;;16;
2818;C;"M;C";Bennacer;Milan;10;20;66;7;;;;;;8;
2819;A;Pc;Caputo;Sampdoria;21;72;78;9;1;;;;;29;
2825;C;"M;C";Bourabia;Spezia;4;5;56;4;;;;;;2;
2832;A;"W;A";Boga;Atalanta;13;27;68;5;;;;;;11;
2839;C;"W;A";Sottil;Fiorentina;9;19;75;6;;;;;;8;
2841;A;Pc;Vlahovic;Juventus;41;383;94;9;1;;;;;153;Arriva depay?
2842;A;"W;A";Zanimacchia;Cremonese;9;15;73;9;3;;;;;6;
2845;P;Por;Contini;Sampdoria;1;1;10;2;;;;;;0;
2847;D;"Ds;Dc;E";Sernicola;Cremonese;3;5;60;4;;;;;;2;
2848;C;C;Frattesi;Sassuolo;16;42;75;8;;;;;;17;
2855;C;"M;C";Vieira;Sampdoria;4;7;65;5;;;;;;3;
2857;C;"W;T";Traore' Hj.;Sassuolo;18;55;78;8;;2;;;;22;frattura, inizio ottobre
2865;D;E;Aina;Torino;5;8;72;6;;;;;;3;
2869;D;"Dd;Ds;Dc";Djidji;Torino;6;8;65;4;;;;;;3;
4143;C;"C;T";Ndombele';Napoli;11;22;72;7;;;;;;9;
4178;C;"M;C";Ascacibar;Cremonese;6;8;;;;;;;;3;
4179;A;A;Gonzalez N.;Fiorentina;20;58;80;9;1;;;;;23;
4200;A;Pc;Giroud;Milan;28;158;80;7;1;;;;;63;
4220;C;"M;C";Zambo Anguissa;Napoli;11;17;61;5;;;;;;7;
4237;D;"Dd;Ds;E";Danilo;Juventus;12;23;74;7;;;;;;9;
4245;D;Dc;Smalling;Roma;14;27;79;8;;;;;;11;
4268;A;Pc;Arnautovic;Bologna;28;140;85;9;1;;;;;56;
4270;P;Por;Rui Patricio;Roma;14;48;84;9;;;;;;19;
4285;C;"M;C";Arthur;Juventus;5;5;52;4;;;;;;2;
4287;C;"M;C";Lobotka;Napoli;12;24;64;7;;;;;;10;
4292;D;"Ds;E";Hernandez T.;Milan;21;84;96;9;2;;;;;34;
4312;P;Por;Maignan;Milan;17;81;97;9;;;;;;32;
4329;D;Dc;Nikolaou;Spezia;4;6;57;5;;;;;;2;
4331;D;Dc;Ibanez;Roma;9;17;58;5;;;;;;7;
4332;D;Dc;Demiral;Atalanta;13;24;76;8;;;;;;10;
4351;P;Por;Brancolini;Lecce;1;1;24;1;;;;;;0;
4359;A;Pc;Piccoli;Verona;13;18;70;6;;;;;;7;
4364;C;"C;T";Gaetano;Napoli;4;6;45;2;;;;;;2;
4371;A;A;Raspadori;Sassuolo;20;65;81;9;;;;;;26;quasi ufficiale napoli
4375;D;"Ds;E";Terzic;Fiorentina;2;3;40;3;;;;;;1;
4376;C;C;Zurkowski;Fiorentina;9;20;68;5;;;;;;8;in dubbio per la terza
4377;C;"C;T";Castrovilli;Fiorentina;9;1;70;5;;;;;;0;rientro fine gennaio
4385;D;E;Lazaro;Torino;7;13;71;5;;;;;;5;
4393;C;"M;C";Schouten;Bologna;8;13;73;9;;;;;;5;
4401;D;Dc;Gabbia;Milan;1;4;42;2;;;;;;2;
4407;D;"Ds;Dc";Igor;Fiorentina;9;18;74;8;;;;;;7;rientro per la terza
4409;D;Dc;Rrahmani;Napoli;14;28;80;8;;;;;;11;
4411;C;"M;C";Agoume;Inter;2;2;;;;;;;;1;
4412;D;Dc;Rodrigo Becao;Udinese;11;17;73;8;;;;;;7;
